# q = 3
# Integers covered = [1, 2150418490766337)
# 2150418490766337 ~ 3^32.14
# every order is realizable with ordinary AV
# every order is realizable with squarefree AV
# total wall time = 29.24 seconds
#
# Each line has the following format:
# a:b:c:pol:r:mu_ord_lower:construction
# where:
# - a, b, c, r are integers
# - pol is a list of lists of integers, each list represents a monic Weil polynomial of degree 2n given by their n+1 leading coefficients,
# - mu_ord_lower is a real number
# - construction is a string in {'hat', 'logexp', 'exhaust', 'small'}
#
# For each (monic) Weil polynomial h(x) represented by pol we have h(1) = c.
# For construction is {logexp', 'exhaust', 'small'} we have mu_ord_lower = 0 and mu_ord_lower doesn't play a role.
#
# There are four cases, depending on the string construction:
# - 'hat'
# In this case, the row represents the output of Construction 9.5.
# Precisely, the list poly only represents one polynomial h(x) obtained via Construction 9.1,
# and the nth-coefficient of h is coprime to p.
# Let S_h be the set of integral polynomials obtained by integrally modifying
# the coefficients x^n, ..., x^(n + (r-1)) by at most floor(q/2) of h(x), and
# the lower coefficients accordingly to keep the q-symmetry.
# One can then realize every integer in [a, b) as f(1) with f in S_h.
# mu_ord_lower is a lower bound for mu_ord as defined in Section 9.
#
# - 'logexp'
# In this case, r=1, and poly  represents two Weil polynomials h0(x) and h1(x), such that
# (a) h0^[n] != h1^[n] mod p, and thus every number in [a, b) may be represented by an order of
# a squarefree ordinary abelian variety.
# (b) {h0, h1} < {g, g^+, g^-}, where g(x) = hat(h(x)) where h(x) is the polynomial
# produced by Construction 9.1 Steps 1-5, and g^+/- =  g(x) +/- (qx^{n-1} - (q+1)x^n + x^{n+1}).
# Furthermore, mu_ord_lower = 0 and mu_ord_lower doesn't play a role.
#
# - 'exhaust'
# As in 'logexp', but condition (b) is replaced with:
# (b') h0 and h1 have the same (n-1) leading coefficients as hat(h(x))
#
# - 'small'
# In this case the polynomials were generated from exhaustive search in low dimension.
# If the length of poly is 2, then condition (a) from 'logexp' holds and the polynomials were generated from exhaustive search in low dimension.
# If the length of poly is 1, ordinariness or squarefreeness might fail.
#
1:2:1:[[1]]:0:0:small
2:4:3:[[1, -1], [1, -4, 9]]:1:0:small
3:7:4:[[1, -3, 6], [1, -2, 2]]:1:0:logexp
5:13:8:[[1, -1, 2], [1, 0, -2]]:1:0:logexp
9:12:10:[[1, -3, 4, -4], [1, -3, 5, -8]]:1:0:logexp
11:16:13:[[1, -2, 0, 5], [1, -2, 1, 1]]:1:0:logexp
14:25:17:[[1, -1, -1, 3], [1, -1, 0, -1]]:1:0:logexp
18:31:25:[[1, 0, -1, 1], [1, 0, 0, -3]]:1:0:logexp
26:32:28:[[1, -3, 4, -4, 6], [1, -3, 4, -3, 2]]:1:0:logexp
29:37:33:[[1, -3, 5, -6, 9], [1, -3, 5, -5, 5]]:1:0:logexp
34:44:39:[[1, -2, 1, 1, -1], [1, -2, 1, 2, -5]]:1:0:logexp
40:55:46:[[1, -2, 3, -4, 6], [1, -2, 3, -3, 2]]:1:0:logexp
47:66:54:[[1, -1, 0, 0, 0], [1, -1, 0, 1, -4]]:1:0:logexp
55:56:55:[[1, -1, 0, 0, 1]]:0:0.0633833718789870:hat
56:79:66:[[1, -1, 2, -4, 8], [1, -1, 2, -3, 4]]:1:0:logexp
67:68:67:[[1, -1, 2, -2, 1]]:0:0.0191838569681030:hat
68:91:74:[[1, 0, -1, 0, 2], [1, 0, -1, 1, -2]]:1:0:logexp
75:88:81:[[1, 0, 0, 0, -1]]:2:0.529772132492345:hat
82:87:84:[[1, 0, 0, 1, -2]]:1:0.281766487206914:hat
85:90:87:[[1, 0, 1, -1, -1]]:1:0.130916311179000:hat
88:100:93:[[1, -3, 5, -6, 3, 3], [1, -3, 5, -6, 4, -1]]:1:0:logexp
94:110:102:[[1, -3, 6, -10, 13, -16], [1, -3, 6, -10, 14, -20]]:1:0:logexp
103:108:105:[[1, 1, 0, -1, -1]]:1:0.132391353940961:hat
106:123:113:[[1, -2, 1, 1, -2, 3], [1, -2, 1, 1, -1, -1]]:1:0:logexp
114:134:121:[[1, -2, 2, -2, 2, -3], [1, -2, 2, -2, 3, -7]]:1:0:logexp
122:123:122:[[1, -2, 2, -2, 2, -2]]:0:0.0457269702086456:hat
123:124:123:[[1, -2, 2, -2, 3, -5]]:0:0.0606130364549020:hat
124:125:124:[[1, -2, 2, -1, -1, 2]]:0:0.0331437864252866:hat
125:130:127:[[1, -2, 2, -1, 0, 1]]:1:0.0999555467623806:hat
128:133:130:[[1, -2, 2, 0, -2, 2]]:1:0.114482765044026:hat
131:136:133:[[1, -2, 3, -5, 8, -13]]:1:0.0976993745795590:hat
134:139:136:[[1, -2, 3, -4, 4, -4]]:1:0.152232316394140:hat
137:142:139:[[1, -2, 3, -3, 1, 1]]:1:0.171642660722341:hat
140:145:142:[[1, -2, 3, -3, 3, -4]]:1:0.124119372500730:hat
143:144:143:[[1, -2, 3, -3, 4, -7]]:0:0.0341239109792547:hat
144:149:146:[[1, -2, 3, -2, 0, 2]]:1:0.112014837974710:hat
147:152:149:[[1, -1, -1, 2, -1, -1]]:1:0.0916192799396580:hat
150:155:152:[[1, -1, -1, 2, 0, -2]]:1:0.170655376095748:hat
153:158:155:[[1, -1, -1, 3, -2, -1]]:1:0.172958258558412:hat
156:161:158:[[1, -1, 0, -1, 2, -2]]:1:0.148860662461725:hat
159:172:165:[[1, -1, 0, 0, 1, -1]]:2:0.256997462791709:hat
166:199:182:[[1, -1, 1, -1, 1, -2]]:3:0.371082884683938:hat
183:196:189:[[1, -1, 1, 0, 0, -1]]:2:0.320041096520936:hat
190:203:196:[[1, -1, 2, -3, 3, -4]]:2:0.253986401465015:hat
197:230:213:[[1, 0, -1, -1, 2, -1]]:3:0.374196236842193:hat
214:227:220:[[1, 0, -1, 0, 2, -4]]:2:0.361717787380437:hat
221:254:237:[[1, 0, 0, -1, 1, -1]]:3:0.479030268428451:hat
238:271:254:[[1, 0, 0, 1, 1, -4]]:3:0.445510579991407:hat
7833:8086:7959:[[1, -3, 5, -5, 3, -1, 2, -6, 9, -11]]:5:0.209822848114114:hat
7960:8213:8086:[[1, -3, 5, -5, 4, -3, 3, -2, 2, -4]]:5:0.178036019515192:hat
8087:8340:8213:[[1, -3, 6, -10, 14, -18, 23, -29, 37, -55]]:5:0.205274239283951:hat
8214:8467:8340:[[1, -3, 6, -10, 15, -20, 25, -29, 31, -40]]:5:0.208888208351357:hat
8341:8430:8385:[[1, -3, 6, -10, 16, -25, 38, -55, 78, -121]]:4:0.110673339108359:hat
8386:8639:8512:[[1, -3, 6, -9, 11, -12, 12, -10, 6, -4]]:5:0.252148530138411:hat
8513:8766:8639:[[1, -2, 1, -1, 4, -5, 2, -1, 4, -7]]:5:0.160401971869390:hat
8640:8893:8766:[[1, -2, 1, 0, 0, 0, 1, -1, 1, -4]]:5:0.165775364283263:hat
8767:9020:8893:[[1, -2, 1, 0, 1, -1, -1, 1, 0, 1]]:5:0.186902831757245:hat
8894:9147:9020:[[1, -2, 1, 1, -3, 4, -1, -5, 10, -16]]:5:0.190229217536368:hat
9021:9274:9147:[[1, -2, 1, 1, -2, 3, -4, 2, 2, -5]]:5:0.216199954706860:hat
9148:9889:9518:[[1, -2, 1, 2, -3, -1, 6, -4, -3, 8]]:6:0.266537446553908:hat
9519:9772:9645:[[1, -2, 2, -3, 5, -5, 5, -8, 12, -19]]:5:0.237372690333672:hat
9646:10387:10016:[[1, -2, 2, -2, 3, -3, 3, -5, 9, -16]]:6:0.282495222837328:hat
10017:10758:10387:[[1, -2, 2, -1, 1, -1, 1, -2, 6, -13]]:6:0.294459248903084:hat
10388:11129:10758:[[1, -2, 3, -5, 8, -12, 16, -19, 23, -34]]:6:0.324623710117021:hat
10759:11500:11129:[[1, -2, 3, -4, 5, -5, 6, -8, 11, -17]]:6:0.354731442228742:hat
11130:11871:11500:[[1, -2, 3, -3, 3, -3, 4, -4, 3, -4]]:6:0.370963028327582:hat
11501:12242:11871:[[1, -2, 3, -2, 1, -1, 3, -5, 3, -1]]:6:0.308801067467438:hat
11872:12613:12242:[[1, -1, -1, 2, 0, -2, 0, 1, 1, -2]]:6:0.345916517116797:hat
12243:12984:12613:[[1, -1, -1, 3, -2, -1, 3, -3, 1, 1]]:6:0.416563824083208:hat
12614:13355:12984:[[1, -1, 0, 0, -1, 1, 1, 0, 0, -4]]:6:0.371868883229477:hat
12985:15186:14085:[[1, -1, 0, 2, -2, -1, 4, -4, -1, 5]]:7:0.522846146181469:hat
14086:16287:15186:[[1, -1, 1, 0, -1, 2, -2, 1, 3, -10]]:7:0.597420555296668:hat
15187:17388:16287:[[1, -1, 2, -2, 1, 0, 0, 1, -1, -1]]:7:0.456196112057597:hat
16288:22865:19576:[[1, 0, 0, 0, 0, -1, -1, 0, 0, 2]]:8:0.879339472939551:hat
19577:19830:19703:[[1, -3, 4, -4, 4, -4, 5, -8, 12, -16, 23]]:5:0.0995154500082999:hat
19704:19957:19830:[[1, -3, 4, -4, 4, -2, -3, 8, -10, 9, -10]]:5:0.112341061096416:hat
19831:20084:19957:[[1, -3, 4, -4, 5, -7, 9, -11, 13, -14, 17]]:5:0.116430151811636:hat
19958:20211:20084:[[1, -3, 4, -4, 5, -5, 2, -1, 4, -6, 8]]:5:0.126697004550088:hat
20085:20338:20211:[[1, -3, 4, -3, 0, 3, -2, -4, 12, -16, 17]]:5:0.110499739635786:hat
20212:20465:20338:[[1, -3, 4, -3, 0, 5, -10, 12, -9, 0, 10]]:5:0.125018942062327:hat
20339:20592:20465:[[1, -3, 4, -3, 1, 0, 2, -6, 7, -3, -1]]:5:0.128437944772857:hat
20466:21207:20836:[[1, -3, 4, -3, 2, -1, -2, 5, -5, 5, -8]]:6:0.156938462632416:hat
20837:21090:20963:[[1, -3, 4, -2, -3, 7, -5, -3, 10, -9, 5]]:5:0.137000599522768:hat
20964:21705:21334:[[1, -3, 4, -2, -2, 5, -3, -5, 13, -11, 4]]:6:0.168113258797630:hat
21335:22076:21705:[[1, -3, 4, -2, 0, -2, 5, -2, -6, 10, -11]]:6:0.183472941051107:hat
21706:21959:21832:[[1, -3, 5, -7, 8, -8, 7, -6, 6, -4, 2]]:5:0.128433022267264:hat
21833:22574:22203:[[1, -3, 5, -7, 9, -10, 9, -7, 5, -4, 5]]:6:0.157761964797671:hat
22204:22945:22574:[[1, -3, 5, -6, 4, 2, -11, 21, -28, 27, -28]]:6:0.168102301810439:hat
22575:23316:22945:[[1, -3, 5, -6, 6, -6, 5, -2, -1, 1, 1]]:6:0.185581787967456:hat
22946:23687:23316:[[1, -3, 5, -6, 7, -8, 7, -4, 2, 0, -4]]:6:0.211706861229457:hat
23317:24058:23687:[[1, -3, 5, -5, 2, 3, -6, 4, 4, -14, 23]]:6:0.218232209867074:hat
23688:24429:24058:[[1, -3, 5, -5, 4, -5, 9, -12, 11, -6, 2]]:6:0.223364818944408:hat
24059:24800:24429:[[1, -3, 6, -10, 13, -14, 14, -14, 17, -26, 43]]:6:0.205289320621166:hat
24430:26631:25530:[[1, -3, 6, -9, 11, -12, 12, -11, 10, -9, 10]]:7:0.262072566178990:hat
25531:26272:25901:[[1, -2, 1, -1, 4, -5, 2, -2, 5, -3, -1]]:6:0.164113592398986:hat
25902:26643:26272:[[1, -2, 1, 0, 0, 0, 1, -3, 4, -3, 2]]:6:0.168276167388503:hat
26273:27014:26643:[[1, -2, 1, 0, 1, -1, -2, 3, -1, 2, -5]]:6:0.191933415561090:hat
26644:27385:27014:[[1, -2, 1, 1, -3, 4, -3, 2, -1, -3, 8]]:6:0.193378895743339:hat
27015:27756:27385:[[1, -2, 1, 1, -2, 2, -1, 0, 2, -5, 7]]:6:0.228221196167257:hat
27386:29587:28486:[[1, -2, 1, 2, -4, 4, -2, -3, 9, -10, 8]]:7:0.278400517295389:hat
28487:29228:28857:[[1, -2, 2, -3, 5, -6, 8, -12, 16, -20, 29]]:6:0.243938312951326:hat
28858:29599:29228:[[1, -2, 2, -2, 1, 1, -3, 3, -2, 2, -2]]:6:0.225456752711262:hat
29229:31430:30329:[[1, -2, 2, -1, -1, 2, 0, -3, 5, -3, -1]]:7:0.295484162169250:hat
30330:32531:31430:[[1, -2, 2, 0, -3, 4, -2, 0, 0, 1, -2]]:7:0.348813161505378:hat
31431:33632:32531:[[1, -2, 3, -4, 3, -1, -1, 3, -5, 6, -7]]:7:0.323072164584421:hat
32532:34733:33632:[[1, -2, 3, -4, 6, -8, 10, -12, 15, -17, 22]]:7:0.381748583231093:hat
33633:35834:34733:[[1, -2, 3, -3, 4, -6, 8, -9, 10, -12, 17]]:7:0.355978951330546:hat
34734:36935:35834:[[1, -1, -1, 1, 2, -2, -3, 4, 2, -3, -4]]:7:0.329830239981770:hat
35835:38036:36935:[[1, -1, -1, 2, 0, -1, 0, 0, -1, 4, -7]]:7:0.396470466461619:hat
36936:39137:38036:[[1, -1, 0, -1, 1, 1, -2, 2, -1, 1, -2]]:7:0.349462036609379:hat
38037:40238:39137:[[1, -1, 0, 0, -1, 3, -3, 0, 2, -1, -1]]:7:0.393025328296859:hat
39138:45715:42426:[[1, -1, 1, -2, 1, 1, -2, 4, -7, 8, -10]]:8:0.492471455103288:hat
42427:49004:45715:[[1, -1, 1, 0, 0, -1, 1, -2, 1, -1, -1]]:8:0.544474259907237:hat
45716:52293:49004:[[1, -1, 2, -2, 2, -3, 3, -4, 4, -4, 4]]:8:0.511890294540553:hat
49005:68706:58855:[[1, 0, 0, 0, 0, -1, 1, -1, -1, 1, 1]]:9:0.873567720054719:hat
58856:59597:59226:[[1, -3, 4, -4, 4, -3, 0, 3, -2, -3, 7, -10]]:6:0.109611718921781:hat
59227:59968:59597:[[1, -3, 4, -4, 5, -8, 12, -16, 20, -24, 29, -41]]:6:0.113763247700706:hat
59598:60339:59968:[[1, -3, 4, -4, 5, -6, 4, 0, -3, 4, -3, 2]]:6:0.122922946058783:hat
59969:60710:60339:[[1, -3, 4, -4, 6, -11, 16, -20, 26, -36, 49, -73]]:6:0.127869439089271:hat
60340:61081:60710:[[1, -3, 4, -3, 0, 4, -7, 6, 0, -7, 9, -8]]:6:0.118344957557675:hat
60711:61452:61081:[[1, -3, 4, -3, 1, -1, 4, -7, 8, -6, 4, -7]]:6:0.124634908613944:hat
61082:61823:61452:[[1, -3, 4, -3, 1, 1, -4, 9, -14, 15, -9, 2]]:6:0.134044359105447:hat
61453:63654:62553:[[1, -3, 4, -3, 2, -1, -2, 6, -6, 2, 2, -5]]:7:0.160209045826034:hat
62554:63295:62924:[[1, -3, 4, -2, -3, 7, -5, -2, 7, -3, -7, 14]]:6:0.148141584793583:hat
62925:65126:64025:[[1, -3, 4, -2, -2, 6, -9, 9, -4, -5, 12, -17]]:7:0.173475694228988:hat
64026:66227:65126:[[1, -3, 4, -2, 0, -2, 5, -2, -4, 1, 11, -22]]:7:0.186891521864805:hat
65127:65868:65497:[[1, -3, 5, -7, 8, -8, 7, -6, 7, -10, 15, -23]]:6:0.134793175865555:hat
65498:67699:66598:[[1, -3, 5, -7, 9, -10, 9, -7, 3, 5, -15, 26]]:7:0.162582380576937:hat
66599:68800:67699:[[1, -3, 5, -6, 4, 2, -11, 20, -24, 18, -1, -19]]:7:0.169369433592426:hat
67700:69901:68800:[[1, -3, 5, -6, 6, -6, 5, -3, 1, 1, -2, 2]]:7:0.187468817256399:hat
68801:71002:69901:[[1, -3, 5, -6, 7, -9, 12, -13, 11, -8, 8, -13]]:7:0.207231989988478:hat
69902:72103:71002:[[1, -3, 5, -5, 2, 3, -7, 9, -10, 11, -10, 8]]:7:0.227491359305412:hat
71003:73204:72103:[[1, -3, 5, -5, 3, 1, -5, 6, -1, -9, 21, -37]]:7:0.213903843671366:hat
72104:74305:73204:[[1, -3, 6, -10, 13, -14, 13, -10, 6, -2, -1, 2]]:7:0.206652501412309:hat
73205:79782:76493:[[1, -3, 6, -9, 11, -12, 11, -8, 5, -4, 6, -11]]:8:0.260634858705484:hat
76494:78695:77594:[[1, -2, 1, -1, 4, -6, 6, -7, 8, -10, 15, -22]]:7:0.172479527679496:hat
77595:79796:78695:[[1, -2, 1, 0, 0, 0, 0, -1, 2, -1, 0, -1]]:7:0.164757984652561:hat
78696:80897:79796:[[1, -2, 1, 0, 1, -2, 2, -3, 4, -1, -3, 4]]:7:0.197161920007344:hat
79797:81998:80897:[[1, -2, 1, 1, -3, 3, 1, -4, 2, 2, -5, 5]]:7:0.197146830622797:hat
80898:83099:81998:[[1, -2, 1, 1, -2, 2, -2, 1, 2, -4, 3, -2]]:7:0.221752896704291:hat
81999:88576:85287:[[1, -2, 1, 2, -4, 3, 1, -4, 3, -1, 2, -5]]:8:0.279058422522111:hat
85288:87489:86388:[[1, -2, 2, -3, 5, -6, 6, -6, 6, -5, 3, -4]]:7:0.236355310702167:hat
86389:88590:87489:[[1, -2, 2, -2, 1, 0, 0, 0, 1, -3, 4, -5]]:7:0.230793403008133:hat
87490:94067:90778:[[1, -2, 2, -1, -1, 2, -2, 2, -1, 1, -2, 2]]:8:0.285458095841135:hat
90779:97356:94067:[[1, -2, 2, 0, -3, 4, -3, 0, 1, 0, 0, -1]]:8:0.326412438573158:hat
94068:100645:97356:[[1, -2, 3, -4, 3, -2, 2, -2, 4, -4, 2, -4]]:8:0.327322873528204:hat
97357:103934:100645:[[1, -2, 3, -4, 6, -8, 8, -7, 6, -5, 2, 1]]:8:0.409901255000472:hat
100646:107223:103934:[[1, -2, 3, -3, 3, -2, 2, -1, 0, 2, -3, 2]]:8:0.367476968640926:hat
103935:110512:107223:[[1, -2, 3, -2, 1, 0, 0, 1, -1, 0, 3, -7]]:8:0.330059001446671:hat
107224:113801:110512:[[1, -1, -1, 2, 0, -2, 2, 0, -3, 3, 2, -8]]:8:0.394196561592086:hat
110513:117090:113801:[[1, -1, 0, -1, 1, 0, 0, 1, 0, 0, -1, -1]]:8:0.348523825235739:hat
113802:120379:117090:[[1, -1, 0, 0, -1, 2, -1, -1, 2, -1, 1, -4]]:8:0.389478167967581:hat
117091:136792:126941:[[1, -1, 1, -2, 1, 0, 0, 2, -3, 2, -1, -1]]:9:0.488008937307632:hat
126942:146643:136792:[[1, -1, 1, 0, -1, 2, -1, -1, 3, -2, 1, -4]]:9:0.629207740195713:hat
136793:156494:146643:[[1, -1, 2, -2, 1, 1, -4, 6, -6, 4, 0, -5]]:9:0.554012674497986:hat
146644:205713:176178:[[1, 0, 0, 0, 0, -1, -1, 0, 0, 0, 2, -4]]:10:0.893424451255642:hat
176179:178380:177279:[[1, -3, 4, -4, 4, -4, 4, -2, -3, 7, -9, 12, -19]]:7:0.110888509891539:hat
177280:179481:178380:[[1, -3, 4, -4, 4, -2, -3, 7, -8, 9, -8, 4, -4]]:7:0.120302443229591:hat
178381:180582:179481:[[1, -3, 4, -4, 5, -7, 8, -6, 1, 4, -7, 11, -19]]:7:0.126018204584207:hat
179482:181683:180582:[[1, -3, 4, -4, 5, -5, 1, 3, -4, 7, -11, 10, -10]]:7:0.134500050239074:hat
180583:182784:181683:[[1, -3, 4, -3, 0, 3, -3, 0, 3, -4, 4, -4, 5]]:7:0.119064289059023:hat
181684:188261:184972:[[1, -3, 4, -3, 1, 1, -1, -2, 5, -5, 2, 3, -8]]:8:0.150231017562624:hat
184973:191550:188261:[[1, -3, 4, -3, 3, -6, 8, -7, 9, -17, 21, -13, 5]]:8:0.162759781659579:hat
188262:194839:191550:[[1, -3, 4, -2, -2, 5, -5, 2, 2, -5, 5, -1, -4]]:8:0.171881536735389:hat
191551:198128:194839:[[1, -3, 4, -2, -1, 3, -4, 5, -4, 0, 6, -8, 7]]:8:0.175053166752939:hat
194840:201417:198128:[[1, -3, 5, -7, 8, -6, 1, 4, -7, 7, -1, -10, 22]]:8:0.159594320560580:hat
198129:204706:201417:[[1, -3, 5, -7, 10, -14, 17, -20, 25, -31, 37, -43, 59]]:8:0.175564940987512:hat
201418:207995:204706:[[1, -3, 5, -6, 5, -2, -3, 8, -10, 7, 2, -14, 26]]:8:0.181244839744794:hat
204707:211284:207995:[[1, -3, 5, -6, 6, -5, 5, -8, 13, -17, 17, -11, 5]]:8:0.215843052718201:hat
207996:214573:211284:[[1, -3, 5, -5, 2, 1, -1, -1, 1, 3, -6, 2, 4]]:8:0.211730873556577:hat
211285:217862:214573:[[1, -3, 5, -5, 3, -1, 1, -3, 4, -3, 0, 3, -7]]:8:0.239642366186503:hat
214574:221151:217862:[[1, -3, 5, -5, 4, -3, 2, 0, -2, 3, -5, 9, -16]]:8:0.208034721717015:hat
217863:224440:221151:[[1, -3, 6, -10, 14, -18, 21, -23, 25, -28, 32, -34, 41]]:8:0.213235324209975:hat
221152:227729:224440:[[1, -3, 6, -10, 15, -21, 29, -40, 55, -74, 97, -125, 182]]:8:0.243343234417235:hat
224441:231018:227729:[[1, -3, 6, -9, 10, -8, 3, 3, -8, 10, -10, 8, -7]]:8:0.249517420850603:hat
227730:234307:231018:[[1, -2, 1, -1, 3, -3, 3, -4, 2, 0, 1, 0, -4]]:8:0.173587375602220:hat
231019:237596:234307:[[1, -2, 1, 0, -1, 3, -3, 1, 2, -6, 8, -7, 7]]:8:0.168140684781319:hat
234308:240885:237596:[[1, -2, 1, 0, 0, 1, -1, 0, -1, 0, 3, -1, -2]]:8:0.196878707421771:hat
237597:244174:240885:[[1, -2, 1, 0, 1, 0, -4, 5, -3, 4, -4, -1, 5]]:8:0.219459673438597:hat
240886:260587:250736:[[1, -2, 1, 1, 0, -4, 6, -3, -1, 1, 3, -6, 8]]:9:0.265447757755017:hat
250737:270438:260587:[[1, -2, 2, -3, 5, -5, 5, -6, 5, -4, 5, -1, -7]]:9:0.267803357114748:hat
260588:267165:263876:[[1, -2, 2, -2, 1, 1, -1, 0, 0, -2, 5, -6, 8]]:8:0.257722617285058:hat
263877:283578:273727:[[1, -2, 2, -1, -1, 3, -3, 1, 3, -7, 7, -1, -7]]:9:0.314779967372261:hat
273728:293429:283578:[[1, -2, 2, 0, -3, 5, -5, 3, 1, -5, 8, -9, 10]]:9:0.367524604892030:hat
283579:303280:293429:[[1, -2, 3, -4, 3, 0, -5, 11, -14, 13, -6, -6, 17]]:9:0.346279151793027:hat
293430:313131:303280:[[1, -2, 3, -3, 1, 2, -6, 8, -7, 3, 4, -10, 16]]:9:0.389724638435823:hat
303281:322982:313131:[[1, -2, 3, -3, 4, -6, 9, -10, 10, -9, 10, -11, 13]]:9:0.383952648170118:hat
313132:332833:322982:[[1, -1, -1, 1, 2, -2, -2, 3, 2, -5, -1, 6, -4]]:9:0.357094498344856:hat
322983:342684:332833:[[1, -1, -1, 2, 0, -1, 1, -2, 2, 1, -3, 1, 1]]:9:0.413490418682194:hat
332834:352535:342684:[[1, -1, 0, -1, 1, 1, -1, 1, -3, 2, 0, 1, -4]]:9:0.361538645083050:hat
342685:362386:352535:[[1, -1, 0, 0, 0, -1, 0, 2, -1, 1, 0, -1, -1]]:9:0.387867280247194:hat
352536:411605:382070:[[1, -1, 1, -2, 2, -3, 3, -4, 5, -5, 7, -7, 8]]:10:0.465064896947671:hat
382071:441140:411605:[[1, -1, 1, 0, 0, -1, 1, -1, -1, 2, -1, 0, -1]]:10:0.556499329459514:hat
411606:470675:441140:[[1, -1, 2, -2, 2, -3, 3, -4, 5, -4, 6, -5, 2]]:10:0.537839686316055:hat
441141:618310:529725:[[1, 0, 0, 0, 0, -1, 1, -1, 0, -1, 2, -2, 1]]:11:0.891829189326333:hat
529726:536303:533014:[[1, -3, 4, -4, 4, -3, 0, 3, -3, 2, -2, 0, 4, -8]]:8:0.115977996217771:hat
533015:539592:536303:[[1, -3, 4, -4, 5, -8, 11, -10, 6, -4, 4, -3, -1, 7]]:8:0.120752010670163:hat
536304:542881:539592:[[1, -3, 4, -4, 5, -6, 4, -1, 1, -1, -2, 2, 4, -10]]:8:0.129213043662439:hat
539593:546170:542881:[[1, -3, 4, -4, 5, -5, 2, 1, -1, 1, -4, 6, -1, -7]]:8:0.146278454207490:hat
542882:549459:546170:[[1, -3, 4, -3, 0, 4, -8, 11, -10, 5, 1, -8, 16, -26]]:8:0.125439278211754:hat
546171:552748:549459:[[1, -3, 4, -3, 0, 5, -9, 7, 2, -14, 22, -20, 7, 7]]:8:0.138369753437583:hat
549460:556037:552748:[[1, -3, 4, -3, 1, 0, 2, -6, 9, -8, 3, 0, 5, -16]]:8:0.144819134914209:hat
552749:572450:562599:[[1, -3, 4, -3, 2, -1, -2, 5, -4, 0, 3, -4, 4, -5]]:9:0.168857681906346:hat
562600:569177:565888:[[1, -3, 4, -2, -3, 7, -5, -4, 14, -14, 0, 18, -23, 20]]:8:0.150611916020109:hat
565889:585590:575739:[[1, -3, 4, -2, -2, 5, -4, 0, 3, -2, -1, 2, 1, -5]]:9:0.179898267800735:hat
575740:595441:585590:[[1, -3, 4, -2, 0, -3, 11, -17, 15, -7, 4, -15, 33, -52]]:9:0.190983650555978:hat
585591:605292:595441:[[1, -3, 5, -7, 8, -6, 2, 2, -5, 4, 3, -13, 23, -37]]:9:0.170478883066549:hat
595442:615143:605292:[[1, -3, 5, -7, 10, -14, 18, -22, 26, -29, 32, -36, 39, -50]]:9:0.187887766184668:hat
605293:624994:615143:[[1, -3, 5, -6, 5, -2, -2, 6, -9, 9, -5, -1, 5, -7]]:9:0.192614764478983:hat
615144:634845:624994:[[1, -3, 5, -6, 6, -4, 0, 4, -8, 13, -16, 15, -11, 8]]:9:0.222523695918061:hat
624995:644696:634845:[[1, -3, 5, -5, 2, 2, -5, 4, 1, -7, 10, -8, 5, -5]]:9:0.209755016821295:hat
634846:654547:644696:[[1, -3, 5, -5, 3, -1, 2, -6, 10, -11, 7, 1, -9, 14]]:9:0.233371868794955:hat
644697:664398:654547:[[1, -3, 5, -5, 4, -3, 3, -3, 4, -7, 13, -19, 21, -25]]:9:0.207324454550097:hat
654548:713617:684082:[[1, -3, 6, -9, 10, -8, 4, 0, -3, 5, -7, 10, -10, 8]]:10:0.262006747352931:hat
684083:703784:693933:[[1, -2, 1, -1, 3, -2, -1, 1, -1, 3, -4, 5, -4, 1]]:9:0.171972005033420:hat
693934:713635:703784:[[1, -2, 1, 0, -1, 3, -2, -1, 2, -3, 1, 5, -7, 8]]:9:0.174427246878261:hat
703785:723486:713635:[[1, -2, 1, 0, 0, 2, -5, 4, 0, 0, -2, -2, 6, -5]]:9:0.197593556070864:hat
713636:733337:723486:[[1, -2, 1, 0, 2, -5, 4, -1, 3, -7, 7, -5, 6, -10]]:9:0.212254071809978:hat
723487:782556:753021:[[1, -2, 1, 1, 0, -3, 2, 1, 1, -4, 1, 1, 7, -19]]:10:0.263538652688759:hat
753022:812091:782556:[[1, -2, 2, -3, 5, -5, 6, -9, 10, -12, 18, -22, 24, -34]]:10:0.275423024515679:hat
782557:802258:792407:[[1, -2, 2, -2, 1, 2, -5, 5, -4, 3, 0, -2, 1, -1]]:9:0.253477485081054:hat
792408:851477:821942:[[1, -2, 2, -1, -1, 3, -2, -2, 7, -10, 8, -1, -5, 8]]:10:0.322835166677424:hat
821943:881012:851477:[[1, -2, 2, 0, -3, 5, -4, 0, 5, -8, 7, -1, -8, 17]]:10:0.372146926970503:hat
851478:910547:881012:[[1, -2, 3, -4, 3, 0, -4, 8, -10, 9, -3, -6, 15, -26]]:10:0.353167787288043:hat
881013:940082:910547:[[1, -2, 3, -3, 1, 2, -5, 5, -3, 0, 1, 1, -4, 5]]:10:0.392083288303450:hat
910548:969617:940082:[[1, -2, 3, -3, 4, -5, 5, -4, 2, -1, 0, -1, 2, -2]]:10:0.348745257439552:hat
940083:999152:969617:[[1, -1, -1, 1, 2, -2, -1, 1, 0, 1, -1, -1, 1, -1]]:10:0.358691644410549:hat
